Date, Open, High, Low, Close
08/09/19,7918.54,7941.96,7854.39,7854.39
08/08/19,7931.91,7959.34,7910.46,7914.16
08/07/19,7792.31,7917.39,7792.31,7917.39
08/06/19,7832.69,7832.69,7720.02,7766.75
08/05/19,8102.00,8102.00,7890.02,7890.02
08/02/19,8083.32,8129.93,8006.55,8129.93
08/01/19,8035.75,8098.16,7975.53,8098.16
07/31/19,8142.16,8142.16,8023.45,8045.80
07/30/19,8176.60,8176.60,8120.72,8150.46
07/29/19,8190.02,8205.15,8116.06,8188.52
07/26/19,8210.52,8235.46,8177.04,8183.99
07/25/19,8169.92,8272.18,8115.44,8272.18
07/24/19,8217.64,8243.83,8161.49,8161.49
07/23/19,8247.93,8264.89,8226.23,8251.46
07/22/19,8163.00,8246.83,8163.00,8246.83
07/19/19,8280.23,8311.92,8264.56,8270.07
07/18/19,8241.59,8300.49,8241.59,8258.05
07/17/19,8286.86,8311.68,8232.10,8233.48
07/16/19,8354.84,8419.59,8263.57,8263.57
07/15/19,8153.88,8365.29,8153.88,8365.29
07/12/19,8159.63,8197.52,8141.82,8141.82
07/11/19,8098.37,8154.49,8083.22,8154.49
07/10/19,8051.45,8078.21,8020.87,8078.21
07/09/19,8045.12,8053.62,8010.69,8042.04
07/08/19,8108.25,8108.54,8051.52,8051.52
07/05/19,8072.21,8125.16,8072.21,8117.94
07/04/19,8096.28,8112.84,8064.92,8064.92
07/03/19,8100.35,8122.39,8092.26,8092.68
07/02/19,8038.22,8093.60,8022.52,8093.60
07/01/19,8011.47,8043.71,7993.66,8043.71
06/28/19,8032.30,8042.22,7951.34,7999.71
06/27/19,8003.37,8057.64,8003.22,8057.64
06/26/19,8025.04,8051.59,7983.14,8013.57
06/25/19,8074.15,8100.08,8034.09,8034.09
06/24/19,8067.58,8103.91,8060.58,8060.58
06/21/19,8032.86,8055.47,7999.02,8055.47
06/20/19,7984.80,8022.42,7952.86,8022.42
06/19/19,7941.49,8017.01,7937.96,8017.01
06/18/19,7898.44,7935.14,7875.50,7922.04
06/17/19,7908.99,7991.78,7908.99,7908.99
06/14/19,8058.21,8058.21,7944.82,7990.20
06/13/19,8032.22,8051.76,7953.28,8051.76
06/11/19,8045.98,8108.26,8030.98,8030.98
06/10/19,7981.59,8055.05,7967.24,8045.39
06/07/19,7955.80,7983.98,7921.80,7983.98
06/06/19,7980.39,7980.39,7937.73,7959.86
06/04/19,8075.78,8083.37,7945.37,7945.37
06/03/19,7963.33,8139.74,7951.87,8084.88
05/31/19,7872.77,7970.02,7872.77,7970.02
05/30/19,7810.56,7908.50,7809.11,7836.55
05/29/19,7778.48,7816.38,7778.48,7797.75
05/28/19,7728.39,7784.66,7702.90,7761.29
05/27/19,7718.80,7742.45,7693.94,7725.01
05/24/19,7770.63,7770.63,7664.52,7747.09
05/23/19,7807.50,7821.89,7764.11,7804.03
05/22/19,7731.03,7838.55,7725.43,7815.07
05/21/19,7662.48,7740.88,7639.59,7721.56
05/20/19,7586.95,7660.14,7533.95,7660.14
05/17/19,7482.47,7636.91,7482.47,7583.82
