Date, Open, High, Low, Close, Volume
02/20/20, 85.50, 86.10, 85.00, 85.00, 6030630
02/19/20, 84.00, 85.85, 84.00, 85.20, 1202400
02/18/20, 84.20, 85.00, 83.50, 83.50, 1320400
02/17/20, 86.00, 86.00, 83.90, 84.60, 3345050
02/14/20, 87.00, 87.10, 85.55, 86.00, 1777060
02/13/20, 86.50, 87.95, 86.30, 87.00, 3930070
02/12/20, 85.55, 86.65, 85.50, 86.20, 1486180
02/11/20, 86.00, 86.00, 85.00, 85.80, 1318290
02/10/20, 86.10, 86.10, 84.70, 86.00, 1176990
02/07/20, 85.90, 86.10, 84.85, 86.00, 1188530
02/06/20, 85.00, 85.95, 84.55, 85.50, 1562480
02/05/20, 83.30, 85.65, 83.30, 85.00, 2434200
02/04/20, 81.75, 83.90, 81.50, 82.30, 1355790
02/03/20, 82.50, 82.70, 81.30, 81.75, 875390
01/31/20, 84.50, 84.50, 82.10, 82.50, 3514760
01/30/20, 83.00, 84.50, 82.75, 84.50, 2518360
01/29/20, 83.00, 83.30, 82.05, 83.00, 1661830
01/28/20, 82.70, 83.25, 81.85, 83.00, 745580
01/27/20, 82.30, 83.00, 82.30, 82.70, 1002900
01/24/20, 82.15, 82.55, 82.15, 82.25, 3024200
01/23/20, 82.00, 82.90, 81.90, 81.95, 1339120
01/22/20, 83.80, 83.80, 81.05, 81.75, 5453750
01/21/20, 86.65, 86.65, 83.80, 83.80, 1223310
01/20/20, 87.05, 87.50, 84.55, 87.50, 860250
01/17/20, 84.50, 87.50, 84.50, 87.50, 1925250
01/16/20, 83.85, 85.50, 83.85, 85.20, 2005420
01/15/20, 86.45, 86.45, 83.65, 83.70, 3221650
01/14/20, 85.00, 86.80, 84.05, 86.80, 3155420
01/10/20, 85.00, 87.00, 85.00, 86.50, 1373480
01/09/20, 85.40, 86.70, 85.00, 85.00, 1524950
01/08/20, 86.50, 86.50, 84.15, 85.40, 2088170
01/07/20, 87.55, 88.45, 86.55, 86.55, 865530
01/06/20, 88.95, 88.95, 86.85, 88.50, 1664410
01/03/20, 88.00, 89.90, 87.00, 89.00, 1849370
01/02/20, 86.10, 88.00, 85.95, 88.00, 781910
12/27/19, 88.00, 88.00, 86.70, 87.90, 2222540
12/26/19, 87.50, 87.50, 86.60, 86.90, 287710
12/23/19, 86.40, 87.50, 86.00, 87.50, 1674260
12/20/19, 83.80, 87.00, 82.20, 87.00, 7055720
12/19/19, 82.50, 84.45, 82.10, 83.80, 2211840
12/18/19, 84.00, 84.00, 81.30, 83.10, 4372460
12/17/19, 87.30, 87.30, 84.20, 84.60, 3836550
12/16/19, 91.00, 91.00, 87.10, 87.30, 1813340
12/13/19, 90.50, 91.00, 89.10, 91.00, 1450450
12/12/19, 89.00, 90.85, 89.00, 90.50, 1989050
12/11/19, 87.90, 89.00, 86.75, 89.00, 991040
12/10/19, 88.95, 88.95, 86.50, 86.50, 1356830
12/09/19, 89.00, 89.50, 88.30, 89.00, 2306620
12/06/19, 88.15, 89.35, 87.60, 89.00, 5655130
12/05/19, 89.00, 89.95, 88.95, 89.95, 2918240
12/04/19, 87.80, 89.00, 87.60, 89.00, 2812780
12/03/19, 86.80, 88.20, 86.70, 87.25, 4765000
12/02/19, 86.90, 86.90, 84.90, 86.40, 2842330
11/29/19, 88.20, 88.40, 85.60, 85.95, 2641780
11/28/19, 89.00, 89.00, 87.10, 88.00, 4336060
11/27/19, 88.00, 89.25, 87.65, 88.85, 6662390
11/26/19, 90.10, 90.70, 87.00, 87.00, 10056970
11/25/19, 90.50, 90.85, 89.05, 90.00, 2064800
11/22/19, 90.70, 92.00, 89.25, 90.40, 5444740
11/21/19, 92.25, 92.85, 90.90, 90.90, 2273360
11/20/19, 93.60, 93.60, 92.20, 93.00, 1947450
11/19/19, 95.00, 95.40, 93.50, 94.00, 1453130
11/18/19, 95.50, 96.00, 93.85, 95.50, 665380
11/15/19, 95.40, 97.00, 93.60, 96.00, 2827590
11/14/19, 94.45, 95.90, 94.20, 94.20, 742420
11/13/19, 96.00, 96.00, 94.50, 95.00, 1439230
11/12/19, 97.30, 98.00, 96.00, 96.50, 1246900
11/11/19, 97.50, 98.10, 96.65, 98.00, 952840
11/08/19, 96.35, 98.00, 95.20, 97.50, 1492080
11/07/19, 98.00, 98.00, 95.85, 96.35, 2245740
11/06/19, 100.00, 100.00, 96.20, 96.60, 2391940
11/05/19, 97.95, 100.00, 97.50, 100.00, 3624570
11/04/19, 97.55, 98.70, 97.00, 97.30, 4023400
10/31/19, 99.80, 99.90, 96.70, 97.00, 5597790
10/30/19, 99.00, 99.90, 98.50, 99.90, 2473850
10/29/19, 98.95, 99.35, 98.50, 99.05, 1380080
10/28/19, 99.00, 99.30, 98.50, 99.00, 2401680
10/25/19, 97.50, 100.50, 97.50, 99.00, 5750770
10/24/19, 96.80, 97.60, 96.20, 97.15, 854430
10/23/19, 97.60, 97.60, 95.95, 97.00, 1877060
10/22/19, 95.45, 97.80, 94.95, 97.60, 3090660
10/21/19, 95.10, 95.50, 94.95, 95.50, 608210
10/18/19, 95.10, 95.20, 94.60, 95.10, 2048810
10/17/19, 95.00, 95.30, 94.80, 95.00, 4782500
10/16/19, 93.10, 94.00, 92.25, 94.00, 3638600
10/15/19, 93.40, 93.40, 92.65, 93.10, 1524280
10/14/19, 92.95, 93.80, 92.60, 93.40, 1721510
10/11/19, 91.45, 93.00, 91.45, 92.95, 1061230
10/10/19, 91.50, 93.25, 91.45, 93.05, 3025070
10/09/19, 92.20, 92.20, 91.15, 91.50, 1620760
10/08/19, 93.00, 94.00, 91.70, 92.20, 1827620
10/07/19, 92.50, 93.30, 91.70, 93.00, 1117740
10/04/19, 89.50, 93.05, 89.50, 93.00, 2426180
10/03/19, 90.00, 90.70, 89.00, 90.70, 1302070
10/02/19, 92.00, 92.35, 91.05, 91.60, 1347910
10/01/19, 92.30, 92.30, 91.00, 92.10, 1721280
09/30/19, 91.80, 93.00, 91.30, 93.00, 1537250
09/27/19, 91.50, 92.30, 91.00, 91.80, 475630
09/26/19, 91.30, 92.20, 90.55, 91.45, 1930360
09/25/19, 91.55, 92.40, 91.35, 91.50, 1448300
09/24/19, 90.75, 92.40, 90.05, 91.50, 1498830
09/23/19, 91.10, 91.50, 90.00, 90.35, 1897770
09/20/19, 93.10, 93.45, 91.10, 91.10, 3896330
09/19/19, 93.50, 93.75, 92.50, 93.20, 4948010
09/18/19, 93.00, 94.10, 92.10, 93.50, 5933380
09/17/19, 94.35, 94.35, 91.75, 93.00, 1794120
09/16/19, 94.30, 94.40, 94.00, 94.35, 1650280
09/13/19, 92.75, 94.35, 91.80, 94.30, 3384460
09/12/19, 93.00, 93.20, 91.75, 93.20, 2753280
09/11/19, 92.60, 93.00, 92.00, 93.00, 5029230
09/10/19, 92.45, 92.75, 90.05, 92.75, 1397680
09/09/19, 89.40, 92.75, 89.00, 92.70, 1855050
09/06/19, 88.50, 89.70, 88.50, 89.00, 955730
09/05/19, 87.10, 89.90, 87.10, 89.50, 1912440
09/04/19, 86.70, 87.75, 86.70, 87.75, 896090
09/03/19, 87.00, 87.50, 86.80, 87.00, 1438980
09/02/19, 87.75, 88.05, 87.00, 87.00, 950300
08/30/19, 87.60, 88.30, 87.05, 87.95, 3410650
08/29/19, 86.90, 87.50, 86.80, 87.50, 2391370
08/28/19, 87.10, 87.50, 86.60, 86.95, 2082440
08/27/19, 89.50, 89.50, 86.75, 87.10, 3885380
08/23/19, 88.45, 89.95, 87.25, 89.90, 1722970
08/22/19, 88.50, 88.50, 87.20, 88.50, 1834060
08/20/19, 89.70, 90.00, 88.00, 88.00, 1754730
08/19/19, 89.00, 90.00, 88.15, 90.00, 1683980
08/16/19, 89.90, 90.90, 88.05, 89.00, 2106160
08/15/19, 89.20, 90.00, 86.25, 90.00, 2244250
08/14/19, 89.50, 91.65, 89.50, 90.30, 1366920
08/13/19, 93.90, 94.15, 89.00, 91.65, 3921770
08/09/19, 94.00, 94.90, 94.00, 94.25, 3044760
08/08/19, 93.90, 94.90, 92.20, 94.15, 4554210
08/07/19, 89.00, 95.00, 89.00, 94.00, 5930830
08/06/19, 89.95, 89.95, 88.00, 88.50, 4066520
08/05/19, 92.40, 92.40, 90.00, 90.50, 2593590
08/02/19, 91.50, 92.40, 89.60, 92.40, 2345180
08/01/19, 90.00, 91.60, 89.30, 91.50, 2545000
07/31/19, 90.00, 90.00, 89.40, 90.00, 2657210
07/30/19, 90.00, 90.90, 89.55, 90.60, 2611980
07/29/19, 90.60, 90.60, 89.25, 89.95, 1861720
07/26/19, 90.05, 91.00, 90.05, 90.60, 1099860
07/25/19, 90.00, 91.60, 90.00, 91.60, 1894950
07/24/19, 90.00, 90.50, 88.50, 90.00, 2116730
07/23/19, 91.50, 91.50, 90.60, 90.65, 2927830
07/22/19, 91.50, 92.00, 90.15, 92.00, 1586830
07/19/19, 91.80, 93.00, 90.50, 93.00, 4812250
07/18/19, 90.00, 92.35, 90.00, 92.00, 8065310
07/17/19, 89.90, 89.90, 88.00, 89.90, 5550570
